x y score
0.235 0.27 0.0
0.225 0.27 0.0
0.215 0.27 0.0
0.205 0.27 0.0
0.195 0.27 0.0
0.185 0.27 0.0
0.175 0.27 0.0
0.165 0.27 0.0
0.155 0.27 0.0
0.145 0.27 0.0
0.135 0.27 0.0
0.125 0.27 1.0
0.115 0.27 2.0
0.105 0.27 0.0
0.095 0.27 0.0
0.085 0.27 0.0
0.075 0.27 5.0
0.065 0.27 0.0
0.055 0.27 0.0
0.045 0.27 0.0
0.035 0.27 1.0
0.025 0.27 3.0
0.015 0.27 1.0
0.005 0.27 0.0
-0.005 0.27 0.0
-0.015 0.27 0.0
-0.025 0.27 0.0
-0.035 0.27 0.0
-0.045 0.27 0.0
-0.055 0.27 0.0
-0.065 0.27 0.0
-0.075 0.27 0.0
-0.085 0.27 0.0
-0.095 0.27 0.0
-0.105 0.27 0.0
-0.115 0.27 0.0
-0.125 0.27 0.0
-0.135 0.27 0.0
-0.145 0.27 0.0
-0.155 0.27 0.0
-0.165 0.27 0.0
-0.175 0.27 0.0
-0.185 0.27 0.0
-0.195 0.27 0.0
-0.205 0.27 3.0
-0.215 0.27 0.0
-0.225 0.27 0.0
-0.235 0.27 0.0
0.235 0.252 0.0
0.225 0.252 0.0
0.215 0.252 0.0
0.205 0.252 0.0
0.195 0.252 1.0
0.185 0.252 1.0
0.175 0.252 1.0
0.165 0.252 4.0
0.155 0.252 0.0
0.145 0.252 0.0
0.135 0.252 0.0
0.125 0.252 2.0
0.115 0.252 2.0
0.105 0.252 0.0
0.095 0.252 0.0
0.085 0.252 0.0
0.075 0.252 0.0
0.065 0.252 0.0
0.055 0.252 0.0
0.045 0.252 0.0
0.035 0.252 0.0
0.025 0.252 1.0
0.015 0.252 3.0
0.005 0.252 2.0
-0.005 0.252 1.0
-0.015 0.252 2.0
-0.025 0.252 1.0
-0.035 0.252 0.0
-0.045 0.252 0.0
-0.055 0.252 0.0
-0.065 0.252 3.0
-0.075 0.252 0.0
-0.085 0.252 0.0
-0.095 0.252 0.0
-0.105 0.252 0.0
-0.115 0.252 0.0
-0.125 0.252 0.0
-0.135 0.252 0.0
-0.145 0.252 0.0
-0.155 0.252 0.0
-0.165 0.252 0.0
-0.175 0.252 0.0
-0.185 0.252 0.0
-0.195 0.252 0.0
-0.205 0.252 0.0
-0.215 0.252 0.0
-0.225 0.252 2.0
-0.235 0.252 0.0
0.235 0.234 6.0
0.225 0.234 4.0
0.215 0.234 0.0
0.205 0.234 0.0
0.195 0.234 0.0
0.185 0.234 0.0
0.175 0.234 0.0
0.165 0.234 0.0
0.155 0.234 0.0
0.145 0.234 0.0
0.135 0.234 0.0
0.125 0.234 0.0
0.115 0.234 0.0
0.105 0.234 0.0
0.095 0.234 0.0
0.085 0.234 0.0
0.075 0.234 0.0
0.065 0.234 0.0
0.055 0.234 0.0
0.045 0.234 2.0
0.035 0.234 2.0
0.025 0.234 0.0
0.015 0.234 0.0
0.005 0.234 0.0
-0.005 0.234 0.0
-0.015 0.234 0.0
-0.025 0.234 0.0
-0.035 0.234 0.0
-0.045 0.234 0.0
-0.055 0.234 0.0
-0.065 0.234 2.0
-0.075 0.234 0.0
-0.085 0.234 0.0
-0.095 0.234 0.0
-0.105 0.234 0.0
-0.115 0.234 0.0
-0.125 0.234 0.0
-0.135 0.234 0.0
-0.145 0.234 0.0
-0.155 0.234 0.0
-0.165 0.234 0.0
-0.175 0.234 0.0
-0.185 0.234 0.0
-0.195 0.234 0.0
-0.205 0.234 0.0
-0.215 0.234 0.0
-0.225 0.234 0.0
-0.235 0.234 0.0
0.235 0.216 0.0
0.225 0.216 0.0
0.215 0.216 0.0
0.205 0.216 0.0
0.195 0.216 0.0
0.185 0.216 0.0
0.175 0.216 0.0
0.165 0.216 0.0
0.155 0.216 0.0
0.145 0.216 0.0
0.135 0.216 0.0
0.125 0.216 0.0
0.115 0.216 0.0
0.105 0.216 0.0
0.095 0.216 1.0
0.085 0.216 0.0
0.075 0.216 1.0
0.065 0.216 3.0
0.055 0.216 0.0
