x,y,score
0,0,255
1,0,255
2,0,255
3,0,255
4,0,255
5,0,255
6,0,255
7,0,255
8,0,255
9,0,255
10,0,255
11,0,255
12,0,255
13,0,255
14,0,255
15,0,255
16,0,255
17,0,255
18,0,255
19,0,255
20,0,255
21,0,255
22,0,255
23,0,255
24,0,255
25,0,255
26,0,255
27,0,255
28,0,255
29,0,255
30,0,255
31,0,255
32,0,255
33,0,255
34,0,255
35,0,255
0,1,255
1,1,255
2,1,255
3,1,255
4,1,255
5,1,255
6,1,255
7,1,255
8,1,255
9,1,255
10,1,255
11,1,255
12,1,254
13,1,221
14,1,248
15,1,255
16,1,255
17,1,255
18,1,255
19,1,255
20,1,255
21,1,255
22,1,255
23,1,255
24,1,255
25,1,255
26,1,255
27,1,255
28,1,255
29,1,255
30,1,255
31,1,255
32,1,255
33,1,255
34,1,255
35,1,255
0,2,255
1,2,255
2,2,255
3,2,255
4,2,255
5,2,255
6,2,255
7,2,255
8,2,255
9,2,255
10,2,255
11,2,252
12,2,212
13,2,194
14,2,203
15,2,250
16,2,255
17,2,255
18,2,255
19,2,255
20,2,255
21,2,255
22,2,255
23,2,255
24,2,255
25,2,255
26,2,255
27,2,255
28,2,255
29,2,255
30,2,255
31,2,255
32,2,255
33,2,255
34,2,255
35,2,255
0,3,255
1,3,255
2,3,255
3,3,255
4,3,255
5,3,255
6,3,255
7,3,255
8,3,255
9,3,255
10,3,251
11,3,208
12,3,194
13,3,194
14,3,194
15,3,206
16,3,251
17,3,255
18,3,255
19,3,255
20,3,254
21,3,230
22,3,242
23,3,255
24,3,255
25,3,255
26,3,255
27,3,255
28,3,255
29,3,255
30,3,255
31,3,255
32,3,255
33,3,255
34,3,255
35,3,255
0,4,255
1,4,255
2,4,255
3,4,255
4,4,255
5,4,255
6,4,255
7,4,255
8,4,255
9,4,248
10,4,204
11,4,194
12,4,194
13,4,194
14,4,194
15,4,194
16,4,208
17,4,253
18,4,255
19,4,240
20,4,205
21,4,194
22,4,206
23,4,254
24,4,255
25,4,255
26,4,255
27,4,255
28,4,255
29,4,255
30,4,255
31,4,255
32,4,255
33,4,255
34,4,255
35,4,255
0,5,255
1,5,255
2,5,255
3,5,255
4,5,255
5,5,255
6,5,255
7,5,255
8,5,255
9,5,243
10,5,198
11,5,194
12,5,194
13,5,194
14,5,194
15,5,194
16,5,194
17,5,206
18,5,213
19,5,194
20,5,194
21,5,194
22,5,194
23,5,230
24,5,255
25,5,255
26,5,255
27,5,255
28,5,255
29,5,255
30,5,255
31,5,255
32,5,255
33,5,255
34,5,255
35,5,255
0,6,255
1,6,255
2,6,255
3,6,255
4,6,255
5,6,255
6,6,255
7,6,255
8,6,255
9,6,255
10,6,240
11,6,196
12,6,194
13,6,194
14,6,194
15,6,192
16,6,174
17,6,155
18,6,168
19,6,194
20,6,194
21,6,194
22,6,194
23,6,198
24,6,250
25,6,255
26,6,255
27,6,255
28,6,255
29,6,255
30,6,255
31,6,255
32,6,255
33,6,255
34,6,255
35,6,255
0,7,255
1,7,255
2,7,255
3,7,255
4,7,255
5,7,255
6,7,255
7,7,255
8,7,255
9,7,255
10,7,255
11,7,237
12,7,195
13,7,194
14,7,180
15,7,159
16,7,154
17,7,154
18,7,154
19,7,170
20,7,194
21,7,194
22,7,194
23,7,194
24,7,218
25,7,255
26,7,255
27,7,255
28,7,255
29,7,255
30,7,255
31,7,255
32,7,255
33,7,255
34,7,255
35,7,255
0,8,255
1,8,255
2,8,255
3,8,255
4,8,255
5,8,255
6,8,255
7,8,255
8,8,255
9,8,255
10,8,255
11,8,255
12,8,223
13,8,164
14,8,154
15,8,154
16,8,154
17,8,154
18,8,154
19,8,154
20,8,173
21,8,194
22,8,194
23,8,197
24,8,227
25,8,255
26,8,255
27,8,255
28,8,255
29,8,255
30,8,255
31,8,255
32,8,255
33,8,255
34,8,255
35,8,255
0,9,255
1,9,255
2,9,255
3,9,255
4,9,255
5,9,255
6,9,255
7,9,255
8,9,255
9,9,255
10,9,250
11,9,218
12,9,195
13,9,178
14,9,154
15,9,154
16,9,154
17,9,154
18,9,154
19,9,154
20,9,154
21,9,176
22,9,216
23,9,249
24,9,255
25,9,255
26,9,255
27,9,255
28,9,255
29,9,255
30,9,255
31,9,255
32,9,255
33,9,255
34,9,255
35,9,255
0,10,255
1,10,255
2,10,255
3,10,255
4,10,255
5,10,255
6,10,255
7,10,255
8,10,254
9,10,228
10,10,198
11,10,194
12,10,194
13,10,194
14,10,175
15,10,154
16,10,154
17,10,154
18,10,154
19,10,154
20,10,162
21,10,185
22,10,230
23,10,255
24,10,255
25,10,255
26,10,255
27,10,255
28,10,255
29,10,255
30,10,255
31,10,255
32,10,255
33,10,255
34,10,255
35,10,255
0,11,255
1,11,255
2,11,255
3,11,255
4,11,255
5,11,255
6,11,255
7,11,238
8,11,204
9,11,194
10,11,194
11,11,194
12,11,194
13,11,194
14,11,194
15,11,173
16,11,154
17,11,154
18,11,158
19,11,179
20,11,194
21,11,194
22,11,195
23,11,234
24,11,255
25,11,255
26,11,255
27,11,255
28,11,255
29,11,255
30,11,255
31,11,255
32,11,255
33,11,255
34,11,255
35,11,255
0,12,255
1,12,255
2,12,255
3,12,255
4,12,255
5,12,251
6,12,213
7,12,194
8,12,194
