,id,min,max,parameter_name,is_available,user_changeable,type,unit,list,comment,created_at,updated_at,update_user
0,4,0.7,1.99,wavelength,True,True,decimal,,,,2024-01-18T19:18:17.149193+09:00,2024-02-29T20:39:03.785394+09:00,1.0
1,5,,,exposure_time,True,True,decimal,,,,2024-01-18T19:18:58.881481+09:00,2024-02-18T12:25:27.453584+09:00,1.0
2,6,,,data_prefix,True,True,text,,,,2024-01-18T19:20:26.461760+09:00,2024-01-18T19:20:26.461796+09:00,1.0
3,7,,,data_suffix,True,True,text,,,,2024-01-18T19:20:37.167393+09:00,2024-01-18T19:20:37.167426+09:00,1.0
4,8,,,data_directory,True,True,text,,,,2024-01-27T11:45:36.555884+09:00,2024-01-27T11:45:36.555930+09:00,1.0
5,9,,,direct_x,True,True,decimal,,,,2024-01-27T12:05:32.753199+09:00,2024-01-27T12:05:32.753238+09:00,1.0
6,10,,,direct_y,True,True,decimal,,,,2024-01-27T12:05:49.513096+09:00,2024-01-27T12:05:49.513132+09:00,1.0
7,11,,,beamsize_index,True,True,integer,,,,2024-01-27T12:17:55.098209+09:00,2024-02-19T10:27:26.181951+09:00,1.0
8,15,,,wavelength_1,True,True,decimal,,,,2024-01-27T12:20:41.373754+09:00,2024-01-27T12:20:41.373794+09:00,1.0
9,16,,,wavelength_2,True,True,decimal,,,,2024-01-27T12:20:46.756298+09:00,2024-01-27T12:20:46.756333+09:00,1.0
10,17,,,wavelength_3,True,True,decimal,,,,2024-01-27T12:20:50.414590+09:00,2024-01-27T12:20:50.414624+09:00,1.0
11,18,,,exposure_time_1,True,True,decimal,,,,2024-01-27T12:21:48.619399+09:00,2024-02-18T12:25:54.488680+09:00,1.0
12,19,,,exposure_time_2,True,True,decimal,,,,2024-01-27T12:21:55.460897+09:00,2024-02-18T12:26:06.258821+09:00,1.0
13,20,,,exposure_time_3,True,True,decimal,,,,2024-01-27T12:21:59.432730+09:00,2024-02-18T12:26:16.329735+09:00,1.0
14,21,1.0,4.0,num_wavelength,True,True,integer,,,,2024-01-27T12:26:50.029649+09:00,2024-01-27T12:26:50.029683+09:00,1.0
15,22,,,centering_mode,True,True,integer,,,,2024-01-27T12:29:53.458369+09:00,2024-01-27T12:29:53.458405+09:00,1.0
16,23,,,start_angle,True,True,decimal,,,,2024-01-28T11:24:56.808374+09:00,2024-01-28T11:24:56.808414+09:00,1.0
17,24,,,end_angle,True,True,decimal,,,,2024-01-28T11:25:13.198803+09:00,2024-01-28T11:25:13.198837+09:00,1.0
18,25,,,step_angle,True,True,decimal,,,,2024-01-28T11:25:21.970660+09:00,2024-01-28T11:25:21.970702+09:00,1.0
19,26,,,num_sampling,True,True,integer,,,,2024-01-28T11:26:16.657653+09:00,2024-01-28T11:26:16.657685+09:00,1.0
20,27,,,num_sampling_wedge,True,True,integer,,,,2024-01-28T11:26:58.254417+09:00,2024-01-28T11:26:58.254451+09:00,1.0
21,28,,,direct_beam,True,True,text,,,,2024-01-28T12:39:13.247482+09:00,2024-01-28T12:39:13.247520+09:00,1.0
22,29,,,inverse_beam_flag,True,True,boolean,,,,2024-01-28T12:55:52.570672+09:00,2024-01-28T12:55:52.570709+09:00,1.0
23,30,,,still_flag,True,True,boolean,,,,2024-01-28T12:56:31.379658+09:00,2024-01-28T12:56:31.379694+09:00,1.0
24,31,,,omega,True,True,decimal,,,,2024-01-28T12:58:27.942989+09:00,2024-01-28T12:58:27.943024+09:00,1.0
25,32,,,kappa,True,True,decimal,,,,2024-01-28T12:59:00.876986+09:00,2024-01-28T12:59:00.877019+09:00,1.0
26,33,,,chi,True,True,decimal,,,,2024-01-28T12:59:06.874022+09:00,2024-01-28T12:59:06.874058+09:00,1.0
27,34,,,phi,True,True,decimal,,,,2024-01-28T12:59:13.248506+09:00,2024-01-28T12:59:13.248548+09:00,1.0
28,35,,,twotheta,True,True,decimal,,,,2024-01-28T12:59:21.036114+09:00,2024-01-28T12:59:21.036147+09:00,1.0
29,36,,,vertical_offset,True,True,decimal,,,,2024-01-28T12:59:59.639962+09:00,2024-01-28T12:59:59.639995+09:00,1.0
30,37,,,horizontal_offset,True,True,decimal,,,,2024-01-28T13:00:11.369782+09:00,2024-01-28T13:00:11.369818+09:00,1.0
31,38,,,detector_distance,False,False,decimal,,,,2024-01-28T13:01:05.414100+09:00,2024-02-20T10:50:12.009579+09:00,1.0
32,39,,,start_number,True,True,integer,,,,2024-01-28T13:02:10.068472+09:00,2024-01-28T13:02:10.068510+09:00,1.0
33,40,,,serial_offset,True,True,integer,,,,2024-01-28T13:02:21.637117+09:00,2024-01-28T13:02:21.637150+09:00,1.0
34,41,,,bs_distance,True,True,decimal,,,,2024-01-28T13:02:50.934924+09:00,2024-01-28T13:02:50.934973+09:00,1.0
35,42,,,adv_mode,True,True,integer,,,,2024-01-28T13:03:39.858985+09:00,2024-01-28T13:03:39.859019+09:00,1.0
36,43,,,adv_vector_type,True,True,integer,,,,2024-01-28T13:04:03.376866+09:00,2024-01-28T13:04:03.376900+09:00,1.0
37,44,,,adv_num_sampling,True,True,integer,,,,2024-01-28T13:04:34.345727+09:00,2024-01-28T13:04:34.345760+09:00,1.0
38,45,,,adv_vector_step,True,True,decimal,,,,2024-01-28T13:05:03.625223+09:00,2024-01-28T13:05:03.625258+09:00,1.0
39,46,,,adv_interval,True,True,integer,,,,2024-01-28T13:05:35.190456+09:00,2024-01-28T13:05:35.190493+09:00,1.0
40,47,,,adv_num_center,True,True,integer,,,,2024-01-28T13:05:59.377380+09:00,2024-01-28T13:05:59.377414+09:00,1.0
41,48,,,adv_center_x,True,True,text,,,,2024-01-28T13:49:54.855323+09:00,2024-01-28T13:49:54.855362+09:00,1.0
42,49,,,adv_center_y,True,True,text,,,,2024-01-28T13:50:00.940053+09:00,2024-01-28T13:50:00.940086+09:00,1.0
43,50,,,adv_center_z,True,True,text,,,,2024-01-28T13:50:05.553075+09:00,2024-01-28T13:50:05.553111+09:00,1.0
44,51,,,adv_skip_list,True,True,text,,,,2024-01-28T18:31:30.433159+09:00,2024-01-28T18:31:30.433197+09:00,1.0
45,52,,,exposure_time2,True,True,decimal,,,,2024-01-28T18:31:50.941996+09:00,2024-02-18T23:38:20.005535+09:00,1.0
46,53,,,variable_exposure_flag,True,True,boolean,,,,2024-01-28T18:34:03.007291+09:00,2024-01-28T18:34:03.007328+09:00,1.0
47,54,,,shutterless_flag,True,True,boolean,,,,2024-01-28T18:34:29.692825+09:00,2024-01-28T18:34:29.692859+09:00,1.0
48,55,,,frame_rate,True,True,decimal,,,,2024-01-28T18:38:14.797204+09:00,2024-02-18T23:40:58.339623+09:00,1.0
49,56,,,ccd_binning,True,True,integer,,,,2024-01-28T18:40:45.352903+09:00,2024-01-28T18:40:45.352941+09:00,1.0
50,57,,,ccd_bin_type,True,True,integer,,,,2024-01-28T18:41:21.714100+09:00,2024-01-28T18:41:21.714135+09:00,1.0
51,58,,,ccd_transform,True,True,integer,,,,2024-01-28T18:41:49.280600+09:00,2024-01-28T18:41:49.280637+09:00,1.0
52,59,,,ccd_dark,True,True,integer,,,,2024-01-28T18:41:54.797657+09:00,2024-01-28T18:41:54.797691+09:00,1.0
53,60,,,ccd_trigger,True,True,integer,,,,2024-01-28T18:42:11.709008+09:00,2024-01-28T18:42:11.709040+09:00,1.0
54,61,,,ccd_dezinger,True,True,integer,,,,2024-01-28T18:42:43.439600+09:00,2024-01-28T18:42:43.439634+09:00,1.0
55,62,,,ccd_subtract,True,True,integer,,,,2024-01-28T18:42:51.316214+09:00,2024-01-28T18:42:51.316249+09:00,1.0
56,63,,,ccd_adc_mode,True,True,integer,,,,2024-01-28T18:43:45.145980+09:00,2024-01-28T18:43:45.146014+09:00,1.0
57,64,,,ccd_thumbnail,True,True,integer,,,,2024-01-28T18:44:19.875155+09:00,2024-01-28T18:44:19.875191+09:00,1.0
58,65,,,oscil_delay,True,True,decimal,,,,2024-01-28T18:45:56.519255+09:00,2024-01-28T18:45:56.519291+09:00,1.0
59,66,,,oscil_count,True,True,integer,,,,2024-01-28T18:46:25.734223+09:00,2024-01-28T18:46:25.734258+09:00,1.0
60,67,,,oscil_shutter_open_time,True,True,decimal,,,,2024-01-28T18:46:37.886417+09:00,2024-01-28T18:46:37.886450+09:00,1.0
61,68,,,xafs_anom,True,True,integer,,,,2024-01-28T18:49:12.429375+09:00,2024-01-28T18:49:12.429422+09:00,1.0
62,69,,,xafs_mode,True,True,integer,,,,2024-01-28T18:49:36.401123+09:00,2024-01-28T18:49:36.401157+09:00,1.0
63,70,,,attenuator_index,True,True,integer,,,,2024-01-28T18:49:44.900804+09:00,2024-03-05T14:49:25.003881+09:00,1.0
64,71,,,xafs_start_wavelength,True,True,decimal,,,,2024-01-28T18:50:16.328453+09:00,2024-01-28T18:50:16.328488+09:00,1.0
65,72,,,xafs_end_wavelength,True,True,decimal,,,,2024-01-28T18:50:22.628922+09:00,2024-01-28T18:50:22.628956+09:00,1.0
66,73,,,xafs_step_wavelength,True,True,decimal,,,,2024-01-28T18:50:28.294872+09:00,2024-01-28T18:50:28.294906+09:00,1.0
67,75,,,xafs_sca_low,True,True,decimal,,,,2024-01-28T18:51:53.397221+09:00,2024-01-28T18:51:53.397257+09:00,1.0
68,76,,,xafs_sca_high,True,True,decimal,,,,2024-01-28T18:51:57.329484+09:00,2024-01-28T18:51:57.329521+09:00,1.0
69,77,,,xafs_count_time,True,True,decimal,,,,2024-01-28T18:52:17.226558+09:00,2024-01-28T18:52:17.226593+09:00,1.0
70,78,,,xafs_wait_time,True,True,decimal,,,,2024-01-28T18:52:33.498926+09:00,2024-01-28T18:52:33.498959+09:00,1.0
71,79,,,attenuator_transmission,True,True,decimal,,,,2024-01-28T18:53:19.643595+09:00,2024-03-05T14:51:29.719232+09:00,1.0
72,80,,,xafs_auto_attenuator_flag,True,True,boolean,,,,2024-01-28T18:53:37.401050+09:00,2024-02-21T10:34:06.576410+09:00,1.0
73,81,,,estimated_dose,True,True,decimal,,,,2024-01-28T18:54:25.247415+09:00,2024-01-28T18:54:25.247450+09:00,1.0
74,82,,,factor_for_dose_estimation,True,True,decimal,,,,2024-01-28T18:54:54.862828+09:00,2024-01-28T18:54:54.862866+09:00,1.0
75,83,,,comment,True,True,text,,,,2024-01-28T18:55:26.889960+09:00,2024-01-28T18:55:26.889995+09:00,1.0
76,84,,,cleaning_flag,True,True,boolean,,,,2024-01-28T18:58:31.748800+09:00,2024-01-28T18:58:31.748835+09:00,1.0
77,85,,,not_dismount_flag,True,True,boolean,,,,2024-01-28T18:58:45.260715+09:00,2024-01-28T18:58:45.260748+09:00,1.0
78,86,,,raster_scan_type,True,True,integer,,,,2024-01-28T18:59:56.429121+09:00,2024-01-28T18:59:56.429157+09:00,1.0
79,87,,,raster_ver_npoint,True,True,integer,,,,2024-01-28T19:00:15.045413+09:00,2024-03-05T14:54:07.480388+09:00,1.0
80,88,,,raster_hor_npoint,True,True,integer,,,,2024-01-28T19:00:21.155279+09:00,2024-01-28T19:00:21.155316+09:00,1.0
