/staff/bl44xu/BLsoft/TestZOO/TestScripts/cap_0.000000.ppm  0.000 TARGET X,Y = 119.0 242.0
/staff/bl44xu/BLsoft/TestZOO/TestScripts/cap_0.020000.ppm 20.000 TARGET X,Y = 123.0 241.0
/staff/bl44xu/BLsoft/TestZOO/TestScripts/cap_0.040000.ppm 40.000 TARGET X,Y = 128.0 242.0
/staff/bl44xu/BLsoft/TestZOO/TestScripts/cap_0.060000.ppm 60.000 TARGET X,Y = 132.0 239.0
/staff/bl44xu/BLsoft/TestZOO/TestScripts/cap_0.080000.ppm 80.000 TARGET X,Y = 137.0 241.0
/staff/bl44xu/BLsoft/TestZOO/TestScripts/cap_0.100000.ppm 100.000 TARGET X,Y = 142.0 242.0
/staff/bl44xu/BLsoft/TestZOO/TestScripts/cap_0.120000.ppm 120.000 TARGET X,Y = 146.0 240.0
/staff/bl44xu/BLsoft/TestZOO/TestScripts/cap_0.140000.ppm 140.000 TARGET X,Y = 151.0 241.0
/staff/bl44xu/BLsoft/TestZOO/TestScripts/cap_0.160000.ppm 160.000 TARGET X,Y = 156.0 241.0
/staff/bl44xu/BLsoft/TestZOO/TestScripts/cap_0.180000.ppm 180.000 TARGET X,Y = 161.0 243.0
/staff/bl44xu/BLsoft/TestZOO/TestScripts/cap_0.200000.ppm 200.000 TARGET X,Y = 165.0 241.0
/staff/bl44xu/BLsoft/TestZOO/TestScripts/cap_0.220000.ppm 220.000 TARGET X,Y = 170.0 242.0
/staff/bl44xu/BLsoft/TestZOO/TestScripts/cap_0.240000.ppm 240.000 TARGET X,Y = 175.0 242.0
/staff/bl44xu/BLsoft/TestZOO/TestScripts/cap_0.260000.ppm 260.000 TARGET X,Y = 179.0 240.0
/staff/bl44xu/BLsoft/TestZOO/TestScripts/cap_0.280000.ppm 280.000 TARGET X,Y = 184.0 242.0
/staff/bl44xu/BLsoft/TestZOO/TestScripts/cap_0.300000.ppm 300.000 TARGET X,Y = 189.0 243.0
/staff/bl44xu/BLsoft/TestZOO/TestScripts/cap_0.320000.ppm 320.000 TARGET X,Y = 193.0 240.0
/staff/bl44xu/BLsoft/TestZOO/TestScripts/cap_0.340000.ppm 340.000 TARGET X,Y = 198.0 242.0
/staff/bl44xu/BLsoft/TestZOO/TestScripts/cap_0.360000.ppm 360.000 TARGET X,Y = 203.0 242.0
/staff/bl44xu/BLsoft/TestZOO/TestScripts/cap_0.380000.ppm 380.000 TARGET X,Y = 207.0 240.0
